Sample	Mean read length_fastq	Mean read quality_fastq	Median read length_fastq	Median read quality_fastq	Number of reads_fastq	Read length N50_fastq	STDEV read length_fastq	Total bases_fastq	>Q10_fastq	>Q15_fastq	>Q20_fastq	>Q25_fastq	>Q30_fastq
S3155_001_1_3_Filtered	731.4	24.2	732.0	27.0	217024.0	732.0	9.5	158736200.0	217024.0	217024.0	197214.0	138625.0	69652.0
S3155_002_2_4_Filtered	732.6	25.1	733.0	28.4	226857.0	733.0	7.9	166188765.0	226857.0	226857.0	211136.0	161508.0	92624.0
S3155_003_3_6_Filtered	732.8	26.0	733.0	30.1	249160.0	733.0	8.0	182589104.0	249160.0	249160.0	235767.0	192265.0	125791.0
S3155_004_4_9_Filtered	738.1	25.3	739.0	29.1	173066.0	739.0	8.0	127737792.0	173066.0	173066.0	161365.0	125790.0	78115.0
S3155_005_5_10_Filtered	732.6	25.5	733.0	29.3	165557.0	733.0	8.3	121288278.0	165557.0	165557.0	155214.0	123051.0	75848.0
S3155_006_6_11_Filtered	732.8	25.7	733.0	29.6	160439.0	733.0	8.3	117575501.0	160439.0	160439.0	150920.0	121389.0	76703.0
S3155_007_7_13_Filtered	732.7	25.5	733.0	29.1	162869.0	733.0	7.9	119332281.0	162869.0	162869.0	152655.0	119972.0	73805.0
S3155_008_8_14_Filtered	735.8	24.8	734.0	28.1	2433.0	734.0	16.2	1790276.0	2433.0	2433.0	2236.0	1663.0	929.0
S3155_009_9_15_Filtered	730.9	24.4	732.0	27.2	238853.0	732.0	9.5	174570257.0	238853.0	238853.0	218950.0	154851.0	77775.0
S3155_010_10_16_Filtered	732.7	25.5	733.0	29.2	259080.0	733.0	7.8	189815452.0	259080.0	259080.0	242524.0	191179.0	117365.0
S3155_011_11_17_Filtered	733.0	25.2	733.0	28.4	149128.0	733.0	8.8	109304674.0	149128.0	149128.0	139035.0	106853.0	60741.0
S3155_012_12_18_Filtered	733.1	25.4	733.0	28.8	227652.0	733.0	10.0	166891697.0	227652.0	227652.0	213418.0	166662.0	97905.0
S3155_013_13_19_Filtered	732.4	25.2	733.0	28.3	244882.0	733.0	7.9	179355896.0	244882.0	244882.0	228667.0	174336.0	99001.0
S3155_014_14_21_Filtered	729.4	25.3	730.0	28.9	227801.0	730.0	9.2	166163256.0	227801.0	227801.0	212791.0	166187.0	99614.0
S3155_015_15_22_Filtered	732.3	25.5	733.0	28.7	270168.0	733.0	7.9	197849951.0	270168.0	270168.0	254350.0	198430.0	115161.0
S3155_016_16_23_Filtered	732.8	25.8	733.0	29.5	217557.0	733.0	7.7	159423947.0	217557.0	217557.0	205617.0	164969.0	102873.0
S3155_017_17_25_Filtered	720.9	25.7	731.0	29.4	117610.0	731.0	46.9	84779173.0	117610.0	117610.0	110583.0	88091.0	54891.0
S3155_018_18_26_Filtered	732.7	24.9	733.0	27.9	263444.0	733.0	8.4	193030719.0	263444.0	263444.0	244152.0	181784.0	100465.0
S3155_019_19_27_Filtered	731.9	25.5	733.0	29.1	229814.0	733.0	8.8	168205995.0	229814.0	229814.0	215756.0	169409.0	102952.0
S3155_020_20_28_Filtered	732.7	26.0	733.0	30.1	234510.0	733.0	8.1	171827386.0	234510.0	234510.0	221758.0	181196.0	117975.0
S3155_021_21_29_Filtered	731.4	24.7	732.0	27.6	238260.0	732.0	9.5	174253416.0	238260.0	238260.0	219664.0	161306.0	83158.0
S3155_022_22_30_Filtered	731.8	25.4	733.0	28.9	246437.0	733.0	10.3	180332986.0	246437.0	246437.0	230501.0	179265.0	108145.0
S3155_023_23_41_Filtered	732.2	24.1	733.0	26.6	251637.0	733.0	8.1	184240123.0	251637.0	251637.0	229422.0	155308.0	69422.0
S3155_024_24_42_Filtered	733.4	25.6	730.0	29.2	136458.0	731.0	18.8	100071806.0	136458.0	136458.0	128560.0	102345.0	62118.0
S3155_PK_COX_Filtered	733.5	24.6	733.0	27.7	299647.0	733.0	10.6	219800025.0	299647.0	299647.0	275057.0	202295.0	110984.0
